N,q,qdef,fraction,n,q05,q25,q50,q75,q95,mean,mode_hist,fd_binwidth,fd_bins
4001,0.8,0.5,0.0,1000,43187706.1591021,149264450.37672195,352047960.2484548,703330192.6883001,1452306864.6276414,493227305.3557499,62476650.04348929,105963767.16111997,20
4001,0.8,0.5,0.02,1000,40158566.531310044,150919694.45180923,374442421.36718035,729796629.9494203,1488092128.1714447,513149925.09550977,62622134.26088889,113062342.17112178,19
4001,0.8,0.5,0.04,1000,38800029.33718273,150628462.82877743,366940378.06593263,733929714.7777302,1625955928.028808,525453726.4464512,69605310.8428025,114066279.89872581,19
4001,0.8,0.5,0.06,1000,46248355.4769562,153289193.5456537,330458663.27321565,657247345.8656893,1447298322.911882,486319487.8585582,57595805.3159973,99897991.44423595,22
4001,0.8,0.5,0.08,1000,45153706.50923804,167871136.60466206,376535584.24275756,713539982.8106637,1456117369.4183967,505425317.0915958,67844683.90613972,105512599.89851835,21
4001,0.8,0.5,0.1,1000,49123649.950000994,170222978.36047962,360480624.7269588,711680676.661685,1556612204.1709678,520520726.21466416,66688210.54861256,106821411.72335847,21
4001,0.8,0.5,0.12,1000,44694452.83087396,156033581.18831584,365117315.23846006,709514851.8190345,1542599598.2237744,514569786.84218335,63595937.33951479,108221789.35675222,21
4001,0.8,0.5,0.14,1000,46786698.93925293,176912797.11644107,378784289.8466459,728534630.4881914,1465081123.4790394,518386417.9426327,62286098.20541244,109525653.84199615,21
4001,0.8,0.5,0.16,1000,46554084.99001607,182460972.48806134,393617708.75905025,741885185.3125279,1591841326.331649,544251092.2722769,64128426.82884413,110686301.58202115,21
4001,0.8,0.5,0.18,1000,49483709.865408,176295341.36678803,384143058.2887138,724931091.3640001,1496711724.093911,531424973.6662261,64952029.95898896,106684952.57950567,22
4001,0.8,0.5,0.2,1000,43819152.297784634,177321786.40692717,389744682.6993418,755661144.0075877,1614319219.7126093,544578446.5234398,66203730.76892321,113070364.51320079,21
4001,0.8,0.5,0.22,1000,46654144.90722831,188718684.7864936,417628331.0325829,817741794.9725323,1765789836.8406236,589075152.7316366,70382709.59696113,119966730.16405325,20
4001,0.8,0.5,0.24,1000,40831996.64894138,163237904.57295713,391731962.77224284,793615520.2964985,1665602239.4552467,557716695.923585,75211978.27564012,121026928.92744495,20
4001,0.8,0.5,0.26,1000,55317820.5327509,176201764.11138844,401761931.9334475,787060609.7570888,1741751726.7953045,565414018.7113894,71133219.62332673,116571455.5422487,21
4001,0.8,0.5,0.28,1000,53819787.44732872,186310510.85249132,422761805.29989254,817021819.8375762,1756742104.8678365,589540904.2101384,79332091.49099499,123443976.08431609,20
4001,0.8,0.5,0.3,1000,50957754.04841664,187287215.30232152,392372679.71512574,773309427.4423406,1870017367.828379,587339705.058496,70161940.22556151,113569557.77267937,22
